what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428167138209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428167283331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428167304287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428167306633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428167314602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167321664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167333168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167334519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167347032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428167350542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428167352479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428167353913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167362592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167364753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428167371228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167372654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167373786
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1428167373792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428167378677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428167389188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428167403155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167404142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167729302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167731061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167732351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167739637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167894650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1428167899470
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1428167909181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167912507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167921744
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428167921804
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428167921867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428167940231
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1428167961751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167963570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428167963773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168014868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168021430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428168027663
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1428168047765
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428168048855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428168057838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428168080755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428168084186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428168118661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428168148073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428168161666
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1428168198648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168200258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168200445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428168211031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168212542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168213591
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1428168213595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428168220519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428168247599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168333736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428168336484
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1428168336551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428168350821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1428168351912
